crewID,Name,birth_year,end_year
nm0169505,Joel Cohen,,
nm0000158,Tom Hanks,1956,
nm0000741,Tim Allen,1953,
nm0725543,Don Rickles,1926,2017
nm0001815,Jim Varney,1949,2000
nm0005124,John Lasseter,1957,
nm0230032,Pete Docter,1968,
nm0004056,Andrew Stanton,1965,
nm0710020,Joe Ranft,1960,2005
nm0923736,Joss Whedon,1964,
nm0472256,Scott Kroopf,,
nm0000245,Robin Williams,1951,2014
nm0000379,Kirsten Dunst,1982,
nm0001372,Bonnie Hunt,1961,
nm0404993,Jonathan Hyde,1948,
nm0002653,Joe Johnston,1950,
nm0378144,Jonathan Hensleigh,1959,
nm0852430,Greg Taylor,,
nm0833164,Jim Strain,,
nm0885575,Chris Van Allsburg,1949,
nm0005714,Tak Fujimoto,1939,
nm0000527,Walter Matthau,1920,2000
nm0000493,Jack Lemmon,1925,2001
nm0000268,Ann-Margret,1941,
nm0000047,Sophia Loren,1934,
nm0222043,Howard Deutch,1950,
nm0425756,Mark Steven Johnson,,
nm0075828,Richard C. Berman,,
nm0204862,John Davis,1954,
nm0006293,Alan Silvestri,1950,
nm0004892,Kenneth 'Babyface' Edmonds,1959,
nm0001365,Whitney Houston,1963,2012
nm0000291,Angela Bassett,1958,
nm0222643,Loretta Devine,1949,
nm0005375,Lela Rochon,1964,
nm0001845,Forest Whitaker,1961,
nm0573334,Terry McMillan,1951,
nm0060103,Ron Bass,1942,
nm0771834,Deborah Schindler,,
nm0842470,Ezra Swerdlow,1953,2018
nm0204567,Elliot Davis,1948,
nm0000188,Steve Martin,1945,
nm0000473,Diane Keaton,1946,
nm0001737,Martin Short,1950,
nm0931090,Kimberly Williams-Paisley,1971,
nm0796124,Charles Shyer,,
nm0352443,Albert Hackett,1900,1995
nm0329304,Frances Goodrich,1890,1984
nm0583600,Nancy Meyers,1949,
nm0325549,William Goldenberg,1959,
nm0000199,Al Pacino,1940,
nm0000134,Robert De Niro,1943,
nm0000174,Val Kilmer,1959,
nm0000685,Jon Voight,1938,
nm0000520,Michael Mann,1943,
nm0513165,Art Linson,1942,
nm0006106,Elliot Goldenthal,1954,
nm0005883,Dante Spinotti,1943,
nm0117779,Pasquale Buba,1946,2018
nm0713128,David Rayfiel,1923,2011
nm0000148,Harrison Ford,1942,
nm0000566,Julia Ormond,1965,
nm0001427,Greg Kinnear,1963,
nm0545408,Nancy Marchand,1928,2000
